City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Castiglione Del Lago,IT,2020-04-17 07:09:07,43.13,12.05,52.0,75,8,0.45
70,Tuktoyaktuk,CA,2020-04-17 07:09:08,69.45,-133.04,12.83,96,98,5.57
71,Carutapera,BR,2020-04-17 07:09:08,-1.2,-46.02,78.51,82,61,3.91
72,Hirara,JP,2020-04-17 07:09:08,24.8,125.28,78.8,65,40,12.75
73,Camacha,PT,2020-04-17 07:05:56,33.08,-16.33,60.8,77,40,9.17
74,Krasnaya Gora,RU,2020-04-17 07:09:09,53.0,31.6,41.0,56,40,17.9
75,Severo-Kurilsk,RU,2020-04-17 07:09:09,50.68,156.12,31.21,94,86,14.88
76,Ampanihy,MG,2020-04-17 07:09:09,-24.7,44.75,81.9,41,0,7.14
77,Bengkulu,ID,2020-04-17 07:06:35,-3.8,102.27,78.53,83,100,8.41
78,Makubetsu,JP,2020-04-17 07:09:10,45.37,141.82,50.0,53,20,18.34
79,Arraial Do Cabo,BR,2020-04-17 07:09:10,-22.97,-42.03,75.2,75,100,7.25
80,Benguela,AO,2020-04-17 07:09:11,-12.58,13.41,77.0,83,90,6.93
81,Severomuysk,RU,2020-04-17 07:09:11,56.15,113.43,33.71,45,54,3.69
82,Virginia Beach,US,2020-04-17 07:04:25,36.85,-75.98,46.99,76,0,3.83
83,Saskylakh,RU,2020-04-17 07:09:12,71.92,114.08,3.06,90,1,4.07
84,Dawson,US,2020-04-17 07:05:18,31.77,-84.45,50.0,91,9,6.11
85,Victoria,HK,2020-04-17 07:09:12,22.29,114.16,80.6,57,20,8.05
86,Cidreira,BR,2020-04-17 07:05:32,-30.18,-50.21,63.99,80,19,10.8
87,Scalea,IT,2020-04-17 07:09:12,39.81,15.8,54.0,62,75,1.01
88,Guanay,BO,2020-04-17 07:09:13,-15.5,-67.88,69.03,57,85,0.6
89,Faya,SA,2020-04-17 07:09:13,18.39,42.45,68.0,59,20,16.11
90,Bluff,NZ,2020-04-17 07:09:13,-46.6,168.33,48.0,93,81,1.99
91,Laguna,US,2020-04-17 07:09:13,38.42,-121.42,57.99,85,90,1.01
92,Kapaa,US,2020-04-17 07:09:14,22.08,-159.32,73.0,59,92,12.91
93,Torbay,CA,2020-04-17 07:05:19,47.67,-52.73,28.99,74,9,4.0
94,Hobyo,SO,2020-04-17 07:09:14,5.35,48.53,87.04,67,58,13.35
95,Tukums,LV,2020-04-17 07:09:14,56.97,23.16,41.0,69,73,8.05
96,Kartuzy,PL,2020-04-17 07:09:15,54.33,18.2,50.0,59,1,10.29
97,Bambous Virieux,MU,2020-04-17 07:09:15,-20.34,57.76,81.0,69,75,18.34
98,Ilulissat,GL,2020-04-17 07:06:34,69.22,-51.1,19.0,83,63,13.56
99,Vagamo,NO,2020-04-17 07:09:15,61.88,9.1,22.96,84,39,7.27
100,Shelburne,CA,2020-04-17 07:09:15,44.08,-80.2,28.0,70,27,8.9
101,Itarema,BR,2020-04-17 07:05:39,-2.92,-39.92,76.8,88,69,6.35
102,Avarua,CK,2020-04-17 07:09:16,-21.21,-159.78,78.49,63,72,7.49
103,Nuevo Casas Grandes,MX,2020-04-17 07:09:16,30.42,-107.92,58.05,18,100,4.47
104,Jutai,BR,2020-04-17 07:09:16,-5.18,-68.9,72.34,94,48,3.11
105,Launceston,AU,2020-04-17 07:05:00,-41.45,147.17,54.0,54,75,18.34
106,Port Moresby,PG,2020-04-17 07:09:17,-9.44,147.18,81.34,78,92,7.54
107,Chokurdakh,RU,2020-04-17 07:09:17,70.63,147.92,-2.54,91,64,8.46
108,Atuona,PF,2020-04-17 07:09:17,-9.8,-139.03,82.67,76,75,13.58
109,Longyearbyen,SJ,2020-04-17 07:06:01,78.22,15.64,26.6,86,75,9.17
